구별,총계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
종로구,1966,27,150453,139417,11036,28764,7,19,1.3067203711458064,-664.6344681692995
용산구,2970,42,227106,213151,13955,39747,6,17,1.3077593722755012,-15.182583540159612
성동구,4175,21,284766,277361,7405,49462,2,17,1.4661160391338852,923.1188615137357
광진구,3592,45,351180,335554,15626,56819,4,16,1.0228372914175066,32.929859984242285
동대문구,2759,25,359873,341149,18724,67030,5,18,0.7666593492704371,-840.2784393245765
중랑구,4193,23,387470,382155,5315,78955,1,20,1.0821482953518984,466.0753584408126
성북구,4957,20,438168,425602,12566,80414,2,18,1.1313012360555768,995.5785957169551
강북구,3321,49,292977,288113,4864,68617,1,23,1.1335360796239977,31.139988210536558
도봉구,2385,152,309494,306948,2546,70436,0,22,0.7706126774670915,-981.2571680857664
노원구,2626,16,502925,498213,4712,96422,0,19,0.5221454491226326,-1634.9461757475765
은평구,4653,27,470869,466770,4099,93817,0,19,0.9881729313248483,540.3245297215926
서대문구,3538,20,320629,306231,14398,58113,4,18,1.1034560192621379,120.2393908922968
마포구,2638,13,375162,363697,11465,57895,3,15,0.7031629002937398,-1031.9956472082222
양천구,3890,20,439252,436028,3224,76317,0,17,0.8855964230100261,-76.43530011311032
강서구,3353,47,568826,563058,5768,102096,1,17,0.5894596941771297,-1212.762364951588
구로구,4831,33,415651,392405,23246,79984,5,19,1.1622731570476192,973.7279429545797
금천구,2885,34,241105,227481,13624,45342,5,18,1.1965741067169906,-164.9330703714204
영등포구,4660,20,397800,374794,23006,67509,5,16,1.1714429361488186,885.2953363701699
동작구,2690,18,389714,378769,10945,70474,2,18,0.6902497729103907,-1047.3039609712418
관악구,5642,23,497883,481956,15927,85418,3,17,1.1331979601633315,1404.374915373448
서초구,4995,40,412078,407664,4414,65661,1,15,1.2121491562277045,1154.254372660137
강남구,7243,15,550282,544873,5409,86606,0,15,1.316234221726315,2763.0104065177256
송파구,3253,26,660025,654166,5859,108894,0,16,0.49286011893488885,-1734.591041894526
강동구,3192,29,463318,459167,4151,82984,0,17,0.6889436628838077,-885.7493379787534
